Smix_Ratio,Oil_Smix_Ratio,Formulation_ID,Replicate,Flux_Jss
1:1,1:4,F1,1,14.2
1:1,1:4,F1,2,14.7
1:1,1:4,F1,3,17.3
1:1,1:5,F2,1,19.1
1:1,1:5,F2,2,19.2
1:1,1:5,F2,3,21.6
1:1,1:6,F3,1,23.7
1:1,1:6,F3,2,21.1
1:1,1:6,F3,3,22
2:1,1:4,F4,1,26.3
2:1,1:4,F4,2,28.8
2:1,1:4,F4,3,27.5
2:1,1:5,F5,1,31.6
2:1,1:5,F5,2,31.2
2:1,1:5,F5,3,30.2
2:1,1:6,F6,1,52.7
2:1,1:6,F6,2,50.7
2:1,1:6,F6,3,47.1
3:1,1:4,F7,1,22.1
3:1,1:4,F7,2,20.3
3:1,1:4,F7,3,19.4
3:1,1:5,F8,1,24.7
3:1,1:5,F8,2,23.5
3:1,1:5,F8,3,23.9
3:1,1:6,F9,1,28.1
3:1,1:6,F9,2,26.5
3:1,1:6,F9,3,30.3
